epoch 509, time = 29.014, error = 1507.65174428
epoch 510, time = 28.964, error = 1395.71974786
epoch 511, time = 28.912, error = 1702.46426727
epoch 512, time = 28.895, error = 1824.50217942
epoch 513, time = 28.476, error = 1572.36349208
epoch 514, time = 28.888, error = 1805.08296271
epoch 515, time = 29.18, error = 1719.71060415
epoch 516, time = 29.042, error = 1839.45219862
epoch 517, time = 29.349, error = 1703.50803769
epoch 518, time = 30.461, error = 1382.93161181
epoch 519, time = 29.439, error = 1656.28624061
epoch 520, time = 29.421, error = 1949.799449
epoch 521, time = 29.428, error = 1612.43120822
epoch 522, time = 29.305, error = 1634.17373983
epoch 523, time = 28.956, error = 1683.56510798
epoch 524, time = 28.893, error = 1479.35950781
epoch 525, time = 29.071, error = 1511.05257333
epoch 526, time = 29.006, error = 1655.17631955
epoch 527, time = 29.472, error = 1623.34492879
epoch 528, time = 28.953, error = 1444.25604593
epoch 529, time = 29.1, error = 1462.74835447
epoch 530, time = 28.707, error = 1518.53478576
epoch 531, time = 28.914, error = 1424.24058662
epoch 532, time = 29.238, error = 1616.02905469
epoch 533, time = 29.011, error = 1781.20979618
epoch 534, time = 28.885, error = 1586.23844873
epoch 535, time = 29.274, error = 2062.00095382
epoch 536, time = 28.776, error = 1264.5511037
epoch 537, time = 28.979, error = 1640.88277149
epoch 538, time = 29.506, error = 1653.12140651
epoch 539, time = 29.156, error = 1569.28017291
epoch 540, time = 28.963, error = 1605.6917461
epoch 541, time = 28.925, error = 1407.95136625
epoch 542, time = 29.11, error = 1491.27482738
epoch 543, time = 29.057, error = 1588.72642672
epoch 544, time = 29.225, error = 1534.51100779
epoch 545, time = 30.97, error = 1551.5318292
epoch 546, time = 29.608, error = 1585.90021631
epoch 547, time = 28.95, error = 1568.39320518
epoch 548, time = 29.305, error = 1826.53829769
epoch 549, time = 29.005, error = 1720.90426071
epoch 550, time = 29.207, error = 1790.47758817
epoch 551, time = 31.853, error = 1781.41187767
epoch 552, time = 29.393, error = 1556.04300123
epoch 553, time = 29.136, error = 1567.24822619
epoch 554, time = 28.928, error = 1442.22839312
epoch 555, time = 28.991, error = 1428.89393023
epoch 556, time = 29.482, error = 1624.78611728
epoch 557, time = 28.817, error = 1454.17237595
epoch 558, time = 28.533, error = 1500.22099791
epoch 559, time = 28.574, error = 1450.58388304
epoch 560, time = 28.752, error = 1807.38258237
epoch 561, time = 28.847, error = 1415.57250885
epoch 562, time = 28.699, error = 1675.73535394
epoch 563, time = 28.77, error = 1567.43301046
epoch 564, time = 29.068, error = 1634.40431401
epoch 565, time = 29.393, error = 1815.18243165
epoch 566, time = 28.68, error = 1316.26583271
epoch 567, time = 28.843, error = 1258.15111462
